# Estimated population of Glasgow 2011-2024
#
# Data source: https://www.macrotrends.net/cities/204765/glasgow/population
#
# Year, Population
2011, 1621000
2012, 1627000
2013, 1632000
2014, 1638000
2015, 1644000
2016, 1649000
2017, 1655000
2018, 1661000
2019, 1667000
2020, 1673000
2021, 1681000
2022, 1689000
2023, 1698000
2024, 1708000
