# Estimated population of Manchester 2011-2024
#
# Data source: https://www.macrotrends.net/cities/22862/manchester/population
#
# Year, Population
2011, 2558000
2012, 2577000
2013, 2595000
2014, 2614000
2015, 2633000
2016, 2652000
2017, 2671000
2018, 2690000
2019, 2710000
2020, 2730000
2021, 2750000
2022, 2770000
2023, 2791000
2024, 2812000
