# Estimated population of Bristol 2011-2024
#
# Data source: https://www.macrotrends.net/cities/22840/bristol/population
#
# Year, Population
2011, 619000
2012, 626000
2013, 634000
2014, 641000
2015, 648000
2016, 656000
2017, 663000
2018, 671000
2019, 679000
2020, 686000
2021, 694000
2022, 701000
2023, 707000
2024, 714000
