# Estimated population of Edinburgh 2011-2024
#
# Data source: https://www.macrotrends.net/cities/22849/edinburgh/population
#
# Year, Population
2011, 483000
2012, 489000
2013, 495000
2014, 501000
2015, 507000
2016, 513000
2017, 519000
2018, 525000
2019, 531000
2020, 537000
2021, 543000
2022, 548000
2023, 554000
2024, 559000
